dataset,id,image size,voxels size
Rennes_02,FLAIR.nii,"(144, 512, 512)","(1.0999999, 0.5078125, 0.5078125)"
Rennes_03,T1.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
Rennes_03,T2.nii,"(240, 320, 44)","(0.6875, 0.6875, 2.9999998)"
Rennes_03,lesion.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
Rennes_03,FLAIR.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
Rennes_04,T1.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
Rennes_04,T2.nii,"(240, 320, 44)","(0.6875, 0.6875, 3.0000005)"
Rennes_04,lesion.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
Rennes_04,FLAIR.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
Rennes_05,T1.nii,"(176, 256, 256)","(1.0, 1.0, 1.0)"
Rennes_05,T2.nii,"(240, 320, 44)","(0.6875, 0.6875, 3.0000002)"
Rennes_05,lesion.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
Rennes_05,FLAIR.nii,"(144, 512, 512)","(1.0999999, 0.49804688, 0.49804688)"
