dataset,id,image size,voxels size
amsterdam144,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam144,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
singapore50,T1.nii,"(256, 232, 48)","(1.0, 1.0, 3.0000024)"
singapore50,lesion.nii,"(256, 232, 48)","(1.0, 1.0, 3.0000024)"
singapore50,FLAIR.nii,"(256, 232, 48)","(1.0, 1.0, 3.0000024)"
singapore51,T1.nii,"(256, 232, 48)","(1.0, 1.0, 3.0)"
singapore51,lesion.nii,"(256, 232, 48)","(1.0, 1.0, 3.0)"
singapore51,FLAIR.nii,"(256, 232, 48)","(1.0, 1.0, 3.0)"
singapore52,T1.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999995)"
singapore52,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999995)"
singapore52,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999995)"
singapore53,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore53,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore53,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore54,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore54,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore54,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore55,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore55,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore55,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore56,T1.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999988)"
singapore56,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999988)"
singapore56,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999988)"
singapore57,T1.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore57,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore57,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore58,T1.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore58,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore58,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 2.9999983)"
singapore59,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000012)"
singapore59,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000012)"
singapore59,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000012)"
singapore60,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore60,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore60,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore61,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000007)"
singapore61,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000007)"
singapore61,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000007)"
singapore62,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.000004)"
singapore62,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.000004)"
singapore63,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore63,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore63,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore64,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore64,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore64,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore65,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore65,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore65,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore66,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore66,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore66,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore67,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore67,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore67,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000002)"
singapore68,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000033)"
singapore68,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000033)"
singapore68,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0000033)"
singapore69,T1.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore69,lesion.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
singapore69,FLAIR.nii,"(232, 256, 48)","(1.0, 1.0, 3.0)"
utrecht00,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht00,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht00,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht02,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht02,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht02,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht04,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht04,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht04,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999993)"
utrecht06,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht06,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht06,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht08,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000017)"
utrecht08,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000017)"
utrecht08,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000017)"
utrecht11,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000014)"
utrecht11,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000014)"
utrecht11,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000014)"
utrecht17,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000001)"
utrecht17,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000001)"
utrecht17,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000001)"
utrecht19,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000038)"
utrecht19,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000038)"
utrecht19,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000038)"
utrecht21,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht21,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht21,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht23,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.999997)"
utrecht23,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.999997)"
utrecht23,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.999997)"
utrecht25,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht25,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht25,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht27,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999967)"
utrecht27,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999967)"
utrecht27,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999967)"
utrecht29,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht29,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht29,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000005)"
utrecht31,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht31,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht31,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0)"
utrecht33,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht33,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht33,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000002)"
utrecht35,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999988)"
utrecht35,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999988)"
utrecht35,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999988)"
utrecht37,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000052)"
utrecht37,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000052)"
utrecht39,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000026)"
utrecht39,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.0000026)"
utrecht41,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht41,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht41,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 3.000003)"
utrecht49,T1.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999998)"
utrecht49,lesion.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999998)"
utrecht49,FLAIR.nii,"(240, 240, 48)","(0.9583333, 0.9583333, 2.9999998)"
